t,s
-2.257349999999999852e+02,5.730024626771895724e-01
-2.249899999999999807e+02,5.721753055701752633e-01
-2.242449999999999761e+02,5.721755195449381715e-01
-2.234999999999999716e+02,5.721757111354204284e-01
-2.227549999999999955e+02,5.721758273472713485e-01
-2.220099999999999909e+02,5.721758327944127531e-01
-2.212649999999999864e+02,5.721757178092633511e-01
-2.205199999999999818e+02,5.721755002499694376e-01
-2.197749999999999773e+02,5.721752207649697386e-01
-2.190299999999999727e+02,5.721749328323080253e-01
-2.182849999999999966e+02,5.721746900720019458e-01
-2.175399999999999920e+02,5.721745338734690600e-01
-2.167949999999999875e+02,5.721744841895708422e-01
-2.160499999999999829e+02,5.721745355047151982e-01
-2.153049999999999784e+02,5.721746587151322894e-01
-2.145599999999999739e+02,5.721748082793530754e-01
-2.138149999999999977e+02,5.721749328283176617e-01
-2.130699999999999932e+02,5.721749867227289288e-01
-2.123249999999999886e+02,5.721749399442833672e-01
-2.115799999999999841e+02,5.721747841971526194e-01
-2.108349999999999795e+02,5.721745340339723374e-01
-2.100899999999999750e+02,5.721742229722892592e-01
-2.093449999999999704e+02,5.721738956655038066e-01
-2.085999999999999943e+02,5.721735979980422382e-01
-2.078549999999999898e+02,5.721733673287325850e-01
-2.071099999999999852e+02,5.721732249592097475e-01
-2.063649999999999807e+02,5.721731723183590690e-01
-2.056199999999999761e+02,5.721731914829322196e-01
-2.048750000000000000e+02,5.721732497033101827e-01
-2.041299999999999955e+02,5.721733067799064099e-01
-2.033849999999999909e+02,5.721733236061944394e-01
-2.026399999999999864e+02,5.721732700509406522e-01
-2.018949999999999818e+02,5.721731305989324889e-01
-2.011499999999999773e+02,5.721729067279985870e-01
-2.004049999999999727e+02,5.721726157326603168e-01
-1.996599999999999966e+02,5.721722864475551340e-01
-1.989149999999999920e+02,5.721719529232262014e-01
-1.981699999999999875e+02,5.721716474505835759e-01
-1.974249999999999829e+02,5.721713943670242442e-01
-1.966799999999999784e+02,5.721712058222397923e-01
-1.959349999999999739e+02,5.721710802086824588e-01
-1.951899999999999977e+02,5.721710033823379504e-01
-1.944449999999999932e+02,5.721709522382419921e-01
-1.936999999999999886e+02,5.721708997727497081e-01
-1.929549999999999841e+02,5.721708205368271072e-01
-1.922099999999999795e+02,5.721706953904877047e-01
-1.914649999999999750e+02,5.721705146880764481e-01
-1.907199999999999704e+02,5.721702793969569711e-01
-1.899749999999999943e+02,5.721700000926962515e-01
-1.892299999999999898e+02,5.721696941904005351e-01
-1.884849999999999852e+02,5.721693820851945222e-01
-1.877399999999999807e+02,5.721690830325452115e-01
-1.869949999999999761e+02,5.721688115834610011e-01
-1.862500000000000000e+02,5.721685752178474749e-01
-1.855049999999999955e+02,5.721683735374143431e-01
-1.847599999999999909e+02,5.721681990506852777e-01
-1.840149999999999864e+02,5.721680392736956389e-01
-1.832699999999999818e+02,5.721678796382598797e-01
-1.825249999999999773e+02,5.721677065831187736e-01
-1.817799999999999727e+02,5.721675102147255609e-01
-1.810349999999999682e+02,5.721672860516077153e-01
-1.802899999999999920e+02,5.721670355761113713e-01
-1.795449999999999875e+02,5.721667655641607952e-01
-1.787999999999999829e+02,5.721664863985294058e-01
-1.780549999999999784e+02,5.721662097512916212e-01
-1.773100000000000023e+02,5.721659461173148609e-01
-1.765649999999999977e+02,5.721657026812583258e-01
-1.758199999999999932e+02,5.721654819122167224e-01
-1.750749999999999886e+02,5.721652811250980131e-01
-1.743299999999999841e+02,5.721650930584409878e-01
-1.735849999999999795e+02,5.721649073307777389e-01
-1.728399999999999750e+02,5.721647124848231458e-01
-1.720949999999999704e+02,5.721644982352241948e-01
-1.713499999999999943e+02,5.721642575137145803e-01
-1.706049999999999898e+02,5.721639879545056262e-01
-1.698599999999999852e+02,5.721636925698573295e-01
-1.691149999999999807e+02,5.721633795094822617e-01
-1.683699999999999761e+02,5.721630609517728283e-01
-1.676250000000000000e+02,5.721627513140864485e-01
-1.668799999999999955e+02,5.721624650721196526e-01
-1.661349999999999909e+02,5.721622145309356311e-01
-1.653899999999999864e+02,5.721620078875910842e-01
-1.646449999999999818e+02,5.721618478716519185e-01
-1.638999999999999773e+02,5.721617311567055442e-01
-1.631549999999999727e+02,5.721616486198065621e-01
-1.624099999999999682e+02,5.721615864050201283e-01
-1.616649999999999920e+02,5.721615276393402505e-01
-1.609199999999999875e+02,5.721614545681348307e-01
-1.601749999999999829e+02,5.721613508317261454e-01
-1.594300000000000068e+02,5.721612035977113875e-01
-1.586850000000000023e+02,5.721610052926122680e-01
-1.579399999999999977e+02,5.721607547343779965e-01
-1.571949999999999932e+02,5.721604575442212903e-01
-1.564499999999999886e+02,5.721601258011664859e-01
-1.557049999999999841e+02,5.721597769849534609e-01
-1.549599999999999795e+02,5.721594323238179403e-01
-1.542149999999999750e+02,5.721591147170416169e-01
-1.534699999999999704e+02,5.721588464348362768e-01
-1.527249999999999659e+02,5.721586468096664380e-01
-1.519799999999999898e+02,5.721585301252732902e-01
-1.512349999999999852e+02,5.721585038857132099e-01
-1.504899999999999807e+02,5.721585676106321072e-01
-1.497450000000000045e+02,5.721587122588371876e-01
-1.490000000000000000e+02,5.721589203337109630e-01
-1.482549999999999955e+02,5.721591666743073290e-01
-1.475099999999999909e+02,5.721594198876993609e-01
-1.467649999999999864e+02,5.721596443335692506e-01
-1.460199999999999818e+02,5.721598025332429449e-01
-1.452749999999999773e+02,5.721598578445430405e-01
-1.445299999999999727e+02,5.721597772231917789e-01
-1.437849999999999682e+02,5.721595338833479483e-01
-1.430399999999999920e+02,5.721591096762485007e-01
-1.422949999999999875e+02,5.721584970282355131e-01
-1.415499999999999829e+02,5.721577003180730037e-01
-1.408050000000000068e+02,5.721567366271654853e-01
-1.400600000000000023e+02,5.721556358621594507e-01
-1.393149999999999977e+02,5.721544403225204967e-01
-1.385699999999999932e+02,5.721532038594344671e-01
-1.378249999999999886e+02,5.721519908388366105e-01
-1.370799999999999841e+02,5.721508751720213448e-01
-1.363349999999999795e+02,5.721499397038524171e-01
-1.355899999999999750e+02,5.721492762440785196e-01
-1.348449999999999704e+02,5.721489864868696262e-01
-1.340999999999999659e+02,5.721491839855895600e-01
-1.333549999999999898e+02,5.721499972357763086e-01
-1.326099999999999852e+02,5.721515737748148478e-01
-1.318649999999999807e+02,5.721540850409567724e-01
-1.311200000000000045e+02,5.721577315593575630e-01
-1.303750000000000000e+02,5.721627478530066924e-01
-1.296299999999999955e+02,5.721694063272038111e-01
-1.288849999999999909e+02,5.721780192627669015e-01
-1.281399999999999864e+02,5.721889379890132687e-01
-1.273949999999999818e+02,5.722025483035992899e-01
-1.266499999999999915e+02,5.722192612696267444e-01
-1.259049999999999869e+02,5.722394986536162298e-01
-1.251599999999999824e+02,5.722636724689238452e-01
-1.244149999999999920e+02,5.722921583509770205e-01
-1.236699999999999875e+02,5.723252628021421318e-01
-1.229249999999999829e+02,5.723631846902967890e-01
-1.221799999999999926e+02,5.724059717488512167e-01
-1.214349999999999881e+02,5.724534731882359173e-01
-1.206899999999999835e+02,5.725052898707101434e-01
-1.199449999999999790e+02,5.725607238037851987e-01
-1.191999999999999886e+02,5.726187289567127303e-01
-1.184549999999999841e+02,5.726778655865543133e-01
-1.177099999999999795e+02,5.727362603661859675e-01
-1.169649999999999892e+02,5.727915746311437184e-01
-1.162199999999999847e+02,5.728409830045207984e-01
-1.154749999999999801e+02,5.728811645221497661e-01
-1.147299999999999898e+02,5.729083081703576497e-01
-1.139849999999999852e+02,5.729181344746929749e-01
-1.132399999999999807e+02,5.729059344510306628e-01
-1.124949999999999903e+02,5.728666268621173119e-01
-1.117499999999999858e+02,5.727948343246856977e-01
-1.110049999999999812e+02,5.726849783957006501e-01
-1.102599999999999909e+02,5.725313933405441480e-01
-1.095149999999999864e+02,5.723284578585576821e-01
-1.087699999999999818e+02,5.720707436175590521e-01
-1.080249999999999915e+02,5.717531790318458595e-01
-1.072799999999999869e+02,5.713712263086729859e-01
-1.065349999999999824e+02,5.709210693855381047e-01
-1.057899999999999920e+02,5.703998099828572199e-01
-1.050449999999999875e+02,5.698056686012938910e-01
-1.042999999999999829e+02,5.691381868978858671e-01
-1.035549999999999926e+02,5.683984274790250257e-01
-1.028099999999999881e+02,5.675891667521345552e-01
-1.020649999999999835e+02,5.667150760853710834e-01
-1.013199999999999790e+02,5.657828861437323997e-01
-1.005749999999999886e+02,5.648015289135422945e-01
-9.982999999999998408e+01,5.637822516146099305e-01
-9.908499999999997954e+01,5.627386964567314687e-01
-9.833999999999998920e+01,5.616869400588507810e-01
-9.759499999999999886e+01,5.606454863573850922e-01
-9.684999999999999432e+01,5.596352070347468954e-01
-9.610499999999998977e+01,5.586792239554957407e-01
-9.535999999999998522e+01,5.578027288637864567e-01
-9.461499999999998067e+01,5.570327367269841679e-01
-9.386999999999997613e+01,5.563977706514546817e-01
-9.312500000000000000e+01,5.559274782729888287e-01
-9.237999999999999545e+01,5.556521819311913690e-01
-9.163499999999999091e+01,5.556023677281738404e-01
-9.088999999999998636e+01,5.558081216501425947e-01
-9.014499999999998181e+01,5.562985241431122052e-01
-8.939999999999997726e+01,5.571010176735295971e-01
-8.865499999999997272e+01,5.582407646194738060e-01
